****** Process <22192.237.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %       TIME  [uS / CALLS]
--------                                                      -----  -------       ----  [----------]
persistent_term:get/2                                             4     0.00          5  [      1.25]
'Elixir.Inspect.List':inspect/2                                   3     0.00          6  [      2.00]
'Elixir.GenServer':call/3                                         3     0.00          6  [      2.00]
inet_db:rfc_4343_lc/1                                            36     0.00          6  [      0.17]
'Elixir.MetricsLogger':increment/3                                1     0.00          6  [      6.00]
gen_server:try_handle_cast/3                                      3     0.00          6  [      2.00]
'Elixir.CustomMetricsLogger':connect/1                            1     0.00          6  [      6.00]
'Elixir.Inspect.Algebra':format/3                                75     0.00          7  [      0.09]
gen_udp:send/5                                                    2     0.00          7  [      3.50]
'Elixir.Inspect.Float':inspect/2                                  6     0.00          7  [      1.17]
'Elixir.Keyword':get/3                                           29     0.00          7  [      0.24]
inet:gethostbyname_self/2                                         2     0.00          7  [      3.50]
'Elixir.GridSearch':search/2                                      1     0.00          7  [      7.00]
'Elixir.Inspect':inspect/2                                       13     0.00          8  [      0.62]
'Elixir.Inspect.Algebra':color/3                                 21     0.00          8  [      0.38]
'Elixir.MeasuredWorker':do_work/3                                 1     0.00          9  [      9.00]
lists:member/2                                                    4     0.00          9  [      2.25]
'Elixir.MeasuredWorker':handle_cast/2                             3     0.00         10  [      3.33]
unicode:characters_to_binary/2                                    4     0.00         10  [      2.50]
inet_gethost_native:call/3                                        2     0.00         10  [      5.00]
'Elixir.GridSearchWorker':do_work/1                               1     0.00         10  [     10.00]
'Elixir.String.Chars':to_string/1                                 5     0.00         10  [      2.00]
erlang:list_to_atom/1                                             2     0.00         10  [      5.00]
erlang:prepare_loading/2                                         13     0.00         10  [      0.77]
erlang:module_loaded/1                                           13     0.00         11  [      0.85]
'Elixir.Inspect.Algebra':container_each/6                        16     0.00         12  [      0.75]
erlang:send/2                                                     3     0.00         12  [      4.00]
'Elixir.Inspect.Algebra':to_doc/2                                13     0.00         15  [      1.15]
inet_gethost_native:wait_reply/2                                  2     0.00         17  [      8.50]
'Elixir.GridSearch.Params':'-new/3-fun-0-'/2                      3     0.00         20  [      6.67]
erlang:function_exported/3                                       13     0.00         22  [      1.69]
erlang:whereis/1                                                 16     0.00         22  [      1.38]
erts_internal:open_port/2                                         1     0.00         26  [     26.00]
code:call/1                                                      26     0.00         26  [      1.00]
erlang:prepare_loading_1/2                                       13     0.00         26  [      2.00]
erlang:send/3                                                     3     0.00         26  [      8.67]
ets:lookup_element/4                                              7     0.00         30  [      4.29]
gen_server:loop/7                                                 4     0.00         31  [      7.75]
error_handler:ensure_loaded/1                                    13     0.00         33  [      2.54]
code:ensure_loaded/1                                             13     0.00         34  [      2.62]
code:load_module/5                                               13     0.00         41  [      3.15]
gen:do_call/4                                                     4     0.00         43  [     10.75]
error_handler:undefined_function/3                               13     0.00         45  [      3.46]
erts_internal:port_control/3                                      4     0.00         46  [     11.50]
'Elixir.Inspect.Algebra':'fits?'/4                              211     0.00         47  [      0.22]
proc_lib:init_ack/2                                               1     0.00         59  [     59.00]
io:execute_request/3                                              2     0.00         63  [     31.50]
erlang:monitor/3                                                  5     0.00        104  [     20.80]
erlang:demonitor/2                                               32     0.00        179  [      5.59]
inet_udp:translate_ip/1                                           1     0.00        220  [    220.00]
erlang:monitor/2                                                 29     0.00        227  [      7.83]
code_server:call/1                                               26     0.00       2395  [     92.12]
erts_internal:prepare_loading/2                                  13     0.01       9075  [    698.08]
'Elixir.Stream':'-zip_with/2-fun-1-'/4                      7200001     0.59     684322  [      0.10]
'Elixir.GridSearch.Accumulator':min/3                       7200000     0.64     741572  [      0.10]
'Elixir.Enum':reduce/3                                      7200004     0.65     752713  [      0.10]
'Elixir.GridSearch.Accumulator':accumulate/3                7200000     0.73     847707  [      0.12]
'Elixir.Enum':reduce_range/5                                3600000     1.06    1230050  [      0.34]
'Elixir.Enum':reverse/1                                     7200000     1.12    1306299  [      0.18]
'Elixir.Stream':zip_with/2                                  7200001     1.18    1367339  [      0.19]
'Elixir.Enum':zip/1                                         7200001     1.19    1380694  [      0.19]
lists:all/2                                                 7200001     1.25    1450469  [      0.20]
'Elixir.Enum':'-zip_reduce/3-fun-0-'/1                     21600003     1.64    1900854  [      0.09]
'Elixir.Enum':zip_reduce/3                                  7200001     1.78    2062080  [      0.29]
'Elixir.Enum':amount_with_step/2                           28800000     2.00    2327798  [      0.08]
erlang:list_to_tuple/1                                     21600003     2.04    2366672  [      0.11]
'Elixir.Enum':at/2                                         28800000     2.18    2528538  [      0.09]
'Elixir.GridSearch.Params':'-next/1-fun-0-'/2              21600000     2.21    2563919  [      0.12]
erlang:is_list/1                                           28800003     2.43    2821470  [      0.10]
'Elixir.GridSearch':'-search/2-fun-0-'/3                    7200000     2.51    2920427  [      0.41]
'Elixir.GridSearch.Params':next/1                           7200000     2.66    3086601  [      0.43]
'Elixir.Enum':'-zip_reduce/3-fun-1-'/3                     21600003     3.05    3544540  [      0.16]
'Elixir.Enum':'-zip/1-fun-0-'/2                            21600003     3.09    3584040  [      0.17]
'Elixir.GridSearchWorker':'-do_work/1-fun-0-'/1             7200000     3.14    3651933  [      0.51]
'Elixir.Enum':drop_list/2                                  43200000     3.22    3740228  [      0.09]
lists:all_1/2                                              28800003     3.67    4261557  [      0.15]
'Elixir.Enum':'-reduce/3-lists^foldl/2-0-'/3               28800012     3.67    4268438  [      0.15]
'Elixir.Enum':at/3                                         28800000     3.83    4447373  [      0.15]
'Elixir.Enum':slice_forward/4                              28800000     4.01    4661265  [      0.16]
'Elixir.Enum':slice_list/4                                 28800000     4.03    4685734  [      0.16]
'Elixir.Enum':take_list/2                                  57600000     5.75    6683242  [      0.12]
'Elixir.Stream':zip_list/4                                 28800004     7.34    8525688  [      0.30]
lists:reverse/2                                            57600011     7.42    8624899  [      0.15]
lists:reverse/1                                            50400013     7.70    8948896  [      0.18]
'Elixir.Stream':zip_list_heads_tails/3                    115200013    12.21   14185403  [      0.12]
--------------------------------------------------------  ---------  -------  ---------  [----------]
Total:                                                    781201430  100.00%  116166050  [      0.15]
Stopping worker: #PID<22257.237.0>

****** Process <22257.237.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                       CALLS        %       TIME  [uS / CALLS]
--------                                                       -----  -------       ----  [----------]
'Elixir.MeasuredWorker':handle_call/3                              1     0.00          0  [      0.00]
'Elixir.MeasuredWorker':pending_limit/0                            2     0.00          0  [      0.00]
'Elixir.Inspect.Algebra':format/2                                  2     0.00          0  [      0.00]
erts_internal:binary_to_integer/2                                  1     0.00          0  [      0.00]
unicode:characters_to_list/1                                       1     0.00          0  [      0.00]
unicode:no_conversion_needed/3                                     3     0.00          0  [      0.00]
inet_db:udp_module/0                                               1     0.00          0  [      0.00]
inet_db:register_socket/2                                          1     0.00          0  [      0.00]
gen:'-call/4-fun-0-'/4                                             1     0.00          0  [      0.00]
'Elixir.Inspect.Integer':base_to_value/1                           6     0.00          0  [      0.00]
'Elixir.Inspect.Integer':prepend_prefix/2                          6     0.00          0  [      0.00]
prim_inet:open/4                                                   1     0.00          0  [      0.00]
prim_inet:enc_type/1                                               1     0.00          0  [      0.00]
prim_inet:protocol2drv/1                                           1     0.00          0  [      0.00]
prim_inet:bind/3                                                   2     0.00          0  [      0.00]
prim_inet:do_bind/2                                                1     0.00          0  [      0.00]
prim_inet:enc_opt/1                                                2     0.00          0  [      0.00]
prim_inet:type_opt/2                                               4     0.00          0  [      0.00]
prim_inet:type_opt_1/1                                             4     0.00          0  [      0.00]
prim_inet:type_value/3                                             5     0.00          0  [      0.00]
prim_inet:enc_value/3                                              3     0.00          0  [      0.00]
prim_inet:enc_value_default/3                                      3     0.00          0  [      0.00]
prim_inet:enc_value_1/3                                            3     0.00          0  [      0.00]
prim_inet:enum_val/2                                               3     0.00          0  [      0.00]
prim_inet:encode_opt_val/1                                         2     0.00          0  [      0.00]
prim_inet:ip4_to_bytes/1                                           1     0.00          0  [      0.00]
'Elixir.GridSearchWorker':name/0                                   1     0.00          0  [      0.00]
'Elixir.IO':inspect/1                                              2     0.00          0  [      0.00]
'Elixir.IO':inspect/2                                              2     0.00          0  [      0.00]
'Elixir.IO':puts/1                                                 1     0.00          0  [      0.00]
inet:udp_options/0                                                 1     0.00          0  [      0.00]
inet:udp_module/1                                                  1     0.00          0  [      0.00]
inet:udp_module_1/2                                                1     0.00          0  [      0.00]
inet:gen_udp_module/2                                              1     0.00          0  [      0.00]
inet:translate_ip/2                                                2     0.00          0  [      0.00]
inet:mod/4                                                         1     0.00          0  [      0.00]
inet:open_bind/8                                                   1     0.00          0  [      0.00]
inet:start_timer/1                                                 4     0.00          0  [      0.00]
'Elixir.Access':get/2                                              2     0.00          0  [      0.00]
lists:keydelete/3                                                  2     0.00          0  [      0.00]
inet_udp:getserv/1                                                 1     0.00          0  [      0.00]
inet_udp:translate_ip/1                                            1     0.00          0  [      0.00]
'Elixir.System':get_env/1                                          1     0.00          0  [      0.00]
'Elixir.Kernel':struct/2                                           2     0.00          0  [      0.00]
erlang:group_leader/0                                              3     0.00          0  [      0.00]
erlang:tuple_to_list/1                                             2     0.00          0  [      0.00]
erlang:port_set_data/2                                             1     0.00          0  [      0.00]
'Elixir.Float':floor/1                                             6     0.00          1  [      0.17]
'Elixir.Float':floor/2                                             6     0.00          1  [      0.17]
'Elixir.MeasuredWorker':cleanup/1                                  1     0.00          1  [      1.00]
'Elixir.MeasuredWorker':mark_ready/1                               3     0.00          1  [      0.33]
'Elixir.String.Chars.List':to_string/1                             1     0.00          1  [      1.00]
'Elixir.Inspect.List':'keyword?'/1                                 6     0.00          1  [      0.17]
'Elixir.GenServer':call/2                                          4     0.00          1  [      0.25]
'Elixir.GenServer':cast_msg/1                                      5     0.00          1  [      0.20]
'Elixir.GenServer':whereis/1                                       4     0.00          1  [      0.25]
'Elixir.Inspect.Algebra':flex_break/1                             16     0.00          1  [      0.06]
'Elixir.Inspect.Algebra':flex_glue/2                              16     0.00          1  [      0.06]
'Elixir.Inspect.Algebra':group/2                                  10     0.00          1  [      0.10]
'Elixir.Inspect.Algebra':nest/2                                    8     0.00          1  [      0.13]
'Elixir.Inspect.Algebra':nest/3                                    8     0.00          1  [      0.13]
'Elixir.Range':new/2                                               2     0.00          1  [      0.50]
unicode:characters_to_list/2                                       1     0.00          1  [      1.00]
unicode:characters_to_binary/1                                     2     0.00          1  [      0.50]
