****** Process <22192.235.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %      TIME  [uS / CALLS]
--------                                                      -----  -------      ----  [----------]
gen_server:try_handle_cast/3                                     12     0.00        26  [      2.17]
erlang:integer_to_binary/2                                       50     0.00        27  [      0.54]
'Elixir.Inspect.Algebra':to_doc/2                               130     0.00        28  [      0.22]
'Elixir.GridSearch.Params':new/3                                 10     0.00        28  [      2.80]
'Elixir.String.Chars.Integer':to_string/1                        22     0.00        29  [      1.32]
erts_internal:open_port/2                                         1     0.00        30  [     30.00]
'Elixir.Enum':zip_reduce/3                                       20     0.00        31  [      1.55]
'Elixir.Inspect.Algebra':concat/2                               320     0.00        33  [      0.10]
'Elixir.Inspect.Integer':inspect/2                               50     0.00        33  [      0.66]
erlang:whereis/1                                                 21     0.00        33  [      1.57]
'Elixir.Inspect.List':inspect/2                                  30     0.00        34  [      1.13]
'Elixir.Inspect.Tuple':inspect/2                                 10     0.00        34  [      3.40]
inet_gethost_native:listify/1                                    40     0.00        35  [      0.88]
'Elixir.GridSearchWorker':'-transform_params/1-fun-0-'/2         60     0.00        35  [      0.58]
erlang:integer_to_binary/1                                       62     0.00        35  [      0.56]
lists:keyfind/3                                                 300     0.00        36  [      0.12]
erlang:'++'/2                                                   180     0.00        37  [      0.21]
'Elixir.GenServer':call/3                                        12     0.00        38  [      3.17]
'Elixir.Stream':zip_list/4                                       80     0.00        38  [      0.47]
inet:gethostbyname_tm/3                                          20     0.00        40  [      2.00]
inet:getaddr/3                                                   20     0.00        41  [      2.05]
io:io_request/2                                                  11     0.00        43  [      3.91]
inet:getaddrs_tm/3                                               20     0.00        43  [      2.15]
unicode:characters_to_binary/2                                   13     0.00        45  [      3.46]
'Elixir.GridSearch':search/2                                     10     0.00        45  [      4.50]
'Elixir.Inspect.Float':inspect/2                                 40     0.00        46  [      1.15]
'Elixir.GridSearch.Params':'-new/3-fun-0-'/2                     30     0.00        46  [      1.53]
'Elixir.Keyword':get/3                                          290     0.00        48  [      0.17]
lists:reverse/1                                                 182     0.00        48  [      0.26]
'Elixir.Inspect.Algebra':container_doc/6                         40     0.00        51  [      1.27]
inet:gethostbyname_tm_native/4                                   20     0.00        51  [      2.55]
'Elixir.Inspect.Algebra':color/3                                210     0.00        55  [      0.26]
inet_db:db_get/1                                                 61     0.00        57  [      0.93]
inet_gethost_native:parse_address/2                              20     0.00        57  [      2.85]
erts_internal:port_control/3                                      4     0.00        58  [     14.50]
'Elixir.MetricsLogger':increment/3                               10     0.00        59  [      5.90]
inet_gethost_native:getit/2                                      20     0.00        60  [      3.00]
'Elixir.GridSearchWorker':do_work/1                              10     0.00        60  [      6.00]
'Elixir.IO':inspect/3                                            10     0.00        61  [      6.10]
erlang:list_to_atom/1                                            20     0.00        65  [      3.25]
persistent_term:get/2                                            31     0.00        65  [      2.10]
inet_db:rfc_4343_lc/1                                           360     0.00        70  [      0.19]
'Elixir.String.Chars':to_string/1                                23     0.00        70  [      3.04]
'Elixir.MeasuredWorker':handle_cast/2                            12     0.00        72  [      6.00]
erlang:send/2                                                    21     0.00        77  [      3.67]
'Elixir.Inspect.Algebra':container_each/6                       160     0.00        81  [      0.51]
gen_udp:send/5                                                   20     0.00        82  [      4.10]
'Elixir.MetricsLogger':timing/3                                  10     0.00        83  [      8.30]
inet:gethostbyname_self/2                                        20     0.00        88  [      4.40]
'Elixir.Inspect':inspect/2                                      130     0.00        91  [      0.70]
'Elixir.MeasuredWorker':do_work/3                                10     0.00        96  [      9.60]
gen_server:loop/7                                                13     0.00       115  [      8.85]
inet_gethost_native:call/3                                       20     0.00       131  [      6.55]
erlang:monitor/2                                                 12     0.00       138  [     11.50]
erlang:send/3                                                    12     0.00       159  [     13.25]
io:execute_request/3                                             11     0.00       160  [     14.55]
ets:lookup_element/4                                             61     0.00       171  [      2.80]
'Elixir.Inspect.Algebra':format/3                               750     0.00       181  [      0.24]
gen:do_call/4                                                    13     0.00       228  [     17.54]
erlang:demonitor/2                                               24     0.00       298  [     12.42]
erlang:monitor/3                                                 32     0.00       326  [     10.19]
'Elixir.Stream':zip_list_heads_tails/3                          290     0.00       330  [      1.14]
'Elixir.Inspect.Algebra':'fits?'/4                             2110     0.00       340  [      0.16]
inet_gethost_native:wait_reply/2                                 20     0.00       414  [     20.70]
'Elixir.GridSearch.Accumulator':min/3                      10440000     2.93   1119125  [      0.11]
'Elixir.Enum':reduce/3                                     10440040     3.07   1174154  [      0.11]
'Elixir.GridSearch.Accumulator':accumulate/3               10440000     3.43   1312813  [      0.13]
'Elixir.Enum':reduce_range/5                                5220000     4.45   1702522  [      0.33]
'Elixir.GridSearch.Params':'-next/1-fun-0-'/2              31320000    10.30   3940116  [      0.13]
'Elixir.GridSearch':'-search/2-fun-0-'/3                   10440000    10.83   4141313  [      0.40]
'Elixir.Enum':reverse/1                                    20880000    11.16   4266675  [      0.20]
lists:reverse/2                                            20880180    11.37   4349007  [      0.21]
'Elixir.GridSearch.Params':next/1                          10440000    11.95   4570869  [      0.44]
'Elixir.ObjectiveFun':griewank_fun/1                       10440000    12.05   4607856  [      0.44]
'Elixir.Enum':'-reduce/3-lists^foldl/2-0-'/3               41760120    18.45   7056355  [      0.17]
--------------------------------------------------------  ---------  -------  --------  [----------]
Total:                                                    182710556  100.00%  38247501  [      0.21]
Stopping worker: #PID<22257.223.0>

****** Process <22257.223.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %      TIME  [uS / CALLS]
--------                                                      -----  -------      ----  [----------]
'Elixir.MeasuredWorker':handle_call/3                             1     0.00         0  [      0.00]
'Elixir.String.Chars.List':to_string/1                            1     0.00         0  [      0.00]
inet_db:udp_module/0                                              1     0.00         0  [      0.00]
inet_db:register_socket/2                                         1     0.00         0  [      0.00]
gen:'-call/4-fun-0-'/4                                            1     0.00         0  [      0.00]
prim_inet:open/4                                                  1     0.00         0  [      0.00]
prim_inet:enc_family/1                                            1     0.00         0  [      0.00]
prim_inet:enc_type/1                                              1     0.00         0  [      0.00]
prim_inet:protocol2drv/1                                          1     0.00         0  [      0.00]
prim_inet:bind/3                                                  2     0.00         0  [      0.00]
prim_inet:do_bind/2                                               1     0.00         0  [      0.00]
prim_inet:is_sockopt_val/2                                        2     0.00         0  [      0.00]
prim_inet:enc_opt/1                                               2     0.00         0  [      0.00]
prim_inet:type_opt/2                                              4     0.00         0  [      0.00]
